"","participant","block","block_condition","questType","conditionName","log_crowding_distance_deg","questSDAtEndOfTrialsLoop","font","Grade","Skilled reader?","age","ParticipantCode","order","targetEccentricityXDeg","targetEccentricityYDeg","bouma_factor"
"1","kvfj09",1,"1_2","Foveal crowding","crowding foveal",-0.900737324,0.091702558,"Sloan.woff2","3","unkown",8.58888888888889,"kvfj09",3,0,0,Inf
"2","kvfj09",2,"2_1","Foveal crowding","crowding foveal",-1.165707915,0.080994317,"Pelli.woff2","3","unkown",8.58888888888889,"kvfj09",3,0,0,Inf
"3","kvfj09",5,"5_1","Peripheral crowding","crowding -5",-0.058897734,0.124638878,"Sloan.woff2","3","unkown",8.58888888888889,"kvfj09",3,-5,0,0.17463539130891
"4","krse05",1,"1_2","Foveal crowding","crowding foveal",-0.663706759,0.096269365,"Sloan.woff2","0","unkown",4.85277777777778,"krse05",7,0,0,Inf
"5","krse05",2,"2_1","Foveal crowding","crowding foveal",-0.832651949,0.103863147,"Pelli.woff2","0","unkown",4.85277777777778,"krse05",7,0,0,Inf
"6","krse05",5,"5_2","Peripheral crowding","crowding +5",-0.268123272,0.09443056,"Sloan.woff2","0","unkown",4.85277777777778,"krse05",7,5,0,0.107871501449604
"7","krbl06",1,"1_2","Foveal crowding","crowding foveal",-0.684006932,0.146611242,"Sloan.woff2","1","unkown",6.16944444444444,"krbl06",11,0,0,Inf
"8","krbl06",2,"2_1","Foveal crowding","crowding foveal",-0.905671716,0.095167765,"Pelli.woff2","1","unkown",6.16944444444444,"krbl06",11,0,0,Inf
"9","krbl06",5,"5_2","Peripheral crowding","crowding +5",-0.18957866,0.105899642,"Sloan.woff2","1","unkown",6.16944444444444,"krbl06",11,5,0,0.129256185625673
"10","kcae06",1,"1_2","Foveal crowding","crowding foveal",-0.80024232,0.096432575,"Sloan.woff2","1","unkown",6.54444444444444,"kcae06",12,0,0,Inf
"11","kcae06",2,"2_1","Foveal crowding","crowding foveal",-0.807254028,0.101025143,"Pelli.woff2","1","unkown",6.54444444444444,"kcae06",12,0,0,Inf
"12","kcae06",5,"5_1","Peripheral crowding","crowding -5",0.212909705,0.143748199,"Sloan.woff2","1","unkown",6.54444444444444,"kcae06",12,-5,0,0.326542490444125
"13","kcae06",5,"5_2","Peripheral crowding","crowding +5",-0.136522302,0.075249695,"Sloan.woff2","1","unkown",6.54444444444444,"kcae06",12,5,0,0.14605206227968
"14","krrx06",1,"1_2","Foveal crowding","crowding foveal",-0.727441241,0.093668494,"Sloan.woff2","1","unkown",6.30833333333333,"krrx06",13,0,0,Inf
"15","krrx06",2,"2_1","Foveal crowding","crowding foveal",-0.864406865,0.105492566,"Pelli.woff2","1","unkown",6.30833333333333,"krrx06",13,0,0,Inf
"16","kvhv06",1,"1_2","Foveal crowding","crowding foveal",-0.816066831,0.097325078,"Sloan.woff2","1","unkown",6.00833333333333,"kvhv06",15,0,0,Inf
"17","kvhv06",2,"2_1","Foveal crowding","crowding foveal",-0.688831557,0.101699253,"Pelli.woff2","1","unkown",6.00833333333333,"kvhv06",15,0,0,Inf
"18","kvhv06",5,"5_1","Peripheral crowding","crowding -5",-0.457402573,0.184701317,"Sloan.woff2","1","unkown",6.00833333333333,"kvhv06",15,-5,0,0.0697633653635943
"19","kvhv06",5,"5_2","Peripheral crowding","crowding +5",-0.406205897,0.125056961,"Sloan.woff2","1","unkown",6.00833333333333,"kvhv06",15,5,0,0.0784917656752376
"20","krga06",1,"1_2","Foveal crowding","crowding foveal",-0.80024232,0.096432575,"Sloan.woff2","1","unkown",6.02222222222222,"krga06",19,0,0,Inf
"21","krga06",2,"2_1","Foveal crowding","crowding foveal",-1.076039575,0.091830292,"Pelli.woff2","1","unkown",6.02222222222222,"krga06",19,0,0,Inf
"22","krga06",5,"5_2","Peripheral crowding","crowding +5",-0.60570819,0.092448013,"Sloan.woff2","1","unkown",6.02222222222222,"krga06",19,5,0,0.0495817447976338
"23","kchr08",1,"1_2","Foveal crowding","crowding foveal",-0.941164369,0.103009108,"Sloan.woff2","3","unkown",8.18611111111111,"kchr08",20,0,0,Inf
"24","kchr08",2,"2_1","Foveal crowding","crowding foveal",-1.170228468,0.076343632,"Pelli.woff2","3","unkown",8.18611111111111,"kchr08",20,0,0,Inf
"25","kchr08",5,"5_1","Peripheral crowding","crowding -5",-0.352473995,0.142157438,"Sloan.woff2","3","unkown",8.18611111111111,"kchr08",20,-5,0,0.0888292510962029
"26","kchr08",5,"5_2","Peripheral crowding","crowding +5",-0.462013851,0.081391368,"Sloan.woff2","3","unkown",8.18611111111111,"kchr08",20,5,0,0.0690265463610966
"27","knvk10",1,"1_2","Foveal crowding","crowding foveal",-0.862347349,0.102424306,"Sloan.woff2","-1","unkown",NA,"knvk10",21,0,0,Inf
"28","knvk10",2,"2_1","Foveal crowding","crowding foveal",-1.169798205,0.076793483,"Pelli.woff2","-1","unkown",NA,"knvk10",21,0,0,Inf
"29","knvk10",5,"5_1","Peripheral crowding","crowding -5",-0.579787604,0.129618712,"Sloan.woff2","-1","unkown",NA,"knvk10",21,-5,0,0.0526310933000935
"30","knvk10",5,"5_2","Peripheral crowding","crowding +5",-0.571765397,0.078260358,"Sloan.woff2","-1","unkown",NA,"knvk10",21,5,0,0.0536123196951939
